user	rank
1C4D7836-AE0E-4480-B6FE-D464DD87722A	9.531815263507024
BA8F9EF7-68E3-4FDD-8C72-FE2DB027CD91	8.867034386143718
618589FE-9A90-4CD1-BA0E-E30AFA25B026	8.107532254851817
B360B7E1-69C4-4467-9AC3-E4925043B8A7	7.191031457339148
0DB9B2C9-B925-4C73-A77D-CE45E537EF25	6.928503391132713
25E1BFBB-1CCA-4FF0-ACF5-60852753A610	6.821903772865257
07E9FE3E-9023-4DC8-ADFB-BF66C276B355	5.412209524853068
78F41EDE-DC9C-4489-AB03-FBF132D684F1	4.806659584138335
45FCD047-B7A4-4037-BE1D-8C77D14AB6B0	4.3441719910488565
131C6095-6F9D-44CA-8420-A1C0517C8525	4.302779551294539
E94D89DA-C8EC-4860-BDD4-E9118D5F4CAE	4.229574152671148
B37EF2BE-65B2-42F2-9AD0-9C780C4BA447	3.9334710027697732
71F0A3B0-908E-4181-8661-DACCA3F8CED9	3.7059935745264725
64A01541-282B-469A-9A12-E53BBF1374C6	3.3363283493690132
35F54EF6-8AE4-4526-A6B4-E1FCA85A9BDF	3.1966594009220475
BC9A605A-FA7B-4B22-8080-2300C577CBA2	2.355962681644984
45E0D86E-0103-4498-A913-92657FD14368	2.289962709920757
488B014C-DF10-4243-8DEA-41212153D465	2.2482877249528
E6815999-3E28-490E-9E60-E2897E428FB8	2.2359578444067445
0B64253D-88BC-4E02-9981-8C53941E8536	2.176484031272271
78BC00D0-9312-4472-9637-EEBB1D16E8E3	2.123145222307816
89C73996-54FB-4255-870E-DDBDCA819F3F	2.1028548437181205
AF84034B-5D7D-4AE7-8DBD-46896AE5AF0C	2.0146728587643596
F50D1CD5-2927-4370-94A9-F0FB22850610	1.9524626781301788
57E6D977-7D26-4BCA-BEBF-73D286B4A778	1.9524626781301782
F732056E-1259-4004-9244-C5EF7BD90906	1.8376341766757536
02A17691-9DA2-4454-9E18-E77D676966F1	1.8162269619686078
8B421820-6459-48E7-AE1C-64C6C688C95D	1.7635819002176423
C7E30857-5E28-45DF-9E69-16F4847CC689	1.704163403201774
0389D2F8-0470-424C-972B-BE29F952AA69	1.6247722149278672
25D05A11-2735-4FFB-AEF8-624027B59DF5	1.5743068814802512
854305D5-007F-49D4-8B4C-A30EC269028D	1.46037273659416
